序列   电影名称   评星   评论人数   上映国家   上映时间   简述
98   天使爱美丽   8.7   820643人评价    法国德国    2001    法式小清新。 
99   断背山   8.8   576163人评价    美国加拿大    2005    每个人心中都有一座断背山。
100   红辣椒   9.0   325562人评价    日本    2006    梦的勾结。
101   7号房的礼物   8.9   420250人评价    韩国    2013    《我是山姆》的《美丽人生》。
102   幽灵公主   8.9   425060人评价    日本    1997    人与自然的战争史诗。
103   小森林 夏秋篇   9.0   330843人评价    日本    2014    那些静得只能听见呼吸的日子里，你明白孤独即生活。
104   阳光灿烂的日子   8.8   489559人评价    中国大陆中国香港    1994    一场华丽的意淫。
105   第六感   8.9   429478人评价    美国    1999    深入内心的恐怖，出人意料的结局。
101   7号房的礼物   8.9   420250人评价    韩国    2013    《我是山姆》的《美丽人生》。
102   幽灵公主   8.9   425060人评价    日本    1997    人与自然的战争史诗。
103   小森林 夏秋篇   9.0   330843人评价    日本    2014    那些静得只能听见呼吸的日子里，你明白孤独即生活。
104   阳光灿烂的日子   8.8   489559人评价    中国大陆中国香港    1994    一场华丽的意淫。
105   第六感   8.9   429478人评价    美国    1999    深入内心的恐怖，出人意料的结局。
106   重庆森林   8.7   621293人评价    中国香港    1994    寂寞没有期限。
107   入殓师   8.9   470136人评价    日本    2008    死可能是一道门，逝去并不是终结，而是超越，走向下一程。
108   唐伯虎点秋香   8.7   814783人评价    中国香港    1993    华太师是黄霑，吴镇宇四大才子之一。
109   小森林 冬春篇   9.0   295961人评价    日本    2015    尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
110   爱在黎明破晓前   8.8   477691人评价    美国奥地利瑞士    1995    缘分是个连绵词，最美不过一瞬。
111   超脱   8.9   373757人评价    美国    2011    穷尽一生，我们要学会的，不过是彼此拥抱。
112   消失的爱人   8.7   703424人评价    美国    2014    年度最佳date movie。
113   一一   9.0   278241人评价    中国台湾日本    2000    我们都曾经是一一。
114   蝙蝠侠：黑暗骑士崛起   8.8   561869人评价    美国英国    2012    诺兰就是保证。
115   菊次郎的夏天   8.8   440476人评价    日本    1999    从没见过那么流氓的温柔，从没见过那么温柔的流氓。
116   侧耳倾听   8.9   360833人评价    日本    1995    少女情怀总是诗。
117   倩女幽魂   8.7   572730人评价    中国香港    1987    两张绝世的脸。 
118   超能陆战队   8.7   784402人评价    美国    2014    Balalala~~~
119   无人知晓   9.1   222954人评价    日本    2004    我的平常生活就是他人的幸福。
120   功夫   8.6   776727人评价    中国大陆中国香港    2004    警恶惩奸，维护世界和平这个任务就交给你了，好吗？
121   萤火之森   8.9   398300人评价    日本    2011    触不到的恋人。
122   甜蜜蜜   8.8   407362人评价    中国香港    1996    相逢只要一瞬间，等待却像是一辈子。
123   借东西的小人阿莉埃蒂   8.8   427112人评价    日本    2010    曾经的那段美好会沉淀为一辈子的记忆。
124   人生果实   9.5   121419人评价    日本    2017    土壤没有落叶不会肥沃，没有了你就不算人生。
125   玛丽和马克思   8.9   354330人评价    澳大利亚    2009    你是我最好的朋友，你是我唯一的朋友 。
121   萤火之森   8.9   398300人评价    日本    2011    触不到的恋人。
122   甜蜜蜜   8.8   407362人评价    中国香港    1996    相逢只要一瞬间，等待却像是一辈子。
123   借东西的小人阿莉埃蒂   8.8   427112人评价    日本    2010    曾经的那段美好会沉淀为一辈子的记忆。
124   人生果实   9.5   121419人评价    日本    2017    土壤没有落叶不会肥沃，没有了你就不算人生。
125   玛丽和马克思   8.9   354330人评价    澳大利亚    2009    你是我最好的朋友，你是我唯一的朋友 。
126   驯龙高手   8.7   600053人评价    美国    2010    和谐的生活离不开摸头与被摸头。
127   爱在日落黄昏时   8.8   400304人评价    美国法国    2004    九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
128   完美的世界   9.1   212157人评价    美国    1993    坏人的好总是比好人的好来得更感人。
129   告白   8.7   566663人评价    日本    2010    没有一人完全善，也没有一人完全恶。
130   幸福终点站   8.8   427056人评价    美国    2004    有时候幸福需要等一等。 
131   大鱼   8.8   454643人评价    美国    2003    抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
132   阳光姐妹淘   8.8   489584人评价    韩国    2011    再多各自牛逼的时光，也比不上一起傻逼的岁月。 
133   射雕英雄传之东成西就   8.7   510201人评价    中国香港    1993    百看不厌。 
134   哈利·波特与阿兹卡班的囚徒   8.8   472089人评价    英国美国    2004    不一样的导演，不一样的哈利·波特。
135   恐怖直播   8.8   505002人评价    韩国    2013    恐怖分子的“秋菊打官司”。
